,subj-4_scrape-318_col-1,subj-4_scrape-321_col-1,subj-4_scrape-321_col-2,subj-4_scrape-321_col-3,subj-4_scrape-319_col-1,subj-4_scrape-318_col-2,subj-4_scrape-319_col-2,subj-4_scrape-318_col-3,subj-4_scrape-319_col-3,subj-4_scrape-319_col-4,subj-4_scrape-318_col-4,subj-4_scrape-319_col-5,subj-4_scrape-318_col-5,subj-4_scrape-319_col-6,subj-4_scrape-318_col-6,subj-4_scrape-312_col-1,subj-4_scrape-312_col-2,subj-4_scrape-312_col-3,subj-4_scrape-312_col-4,subj-4_scrape-313_col-1,subj-4_scrape-312_col-5,subj-4_scrape-321_col-4,subj-4_scrape-312_col-6,subj-4_scrape-321_col-5,subj-4_scrape-314_col-1,subj-4_scrape-317_col-1,subj-4_scrape-317_col-2,subj-4_scrape-317_col-3,subj-4_scrape-317_col-4,subj-4_scrape-313_col-2,subj-4_scrape-314_col-2,subj-4_scrape-315_col-1,subj-4_scrape-316_col-1,subj-4_scrape-313_col-3,subj-4_scrape-315_col-2,subj-4_scrape-314_col-3,subj-4_scrape-315_col-3,subj-4_scrape-313_col-4,subj-4_scrape-314_col-4,subj-4_scrape-315_col-4,subj-4_scrape-313_col-5,subj-4_scrape-314_col-5,subj-4_scrape-316_col-2,subj-4_scrape-313_col-6,subj-4_scrape-314_col-6,subj-4_scrape-315_col-5,
subj-4_scrape-321_col-5,9,14,15,10,26,29,25,29,11,11,29,26,29,8,11,14,11,7,9,14,15,4,10,0,5,23,25,24,23,11,6,15,6,13,11,7,11,13,15,17,15,5,10,11,11,13,
subj-4_scrape-314_col-1,7,13,11,8,28,28,27,28,9,9,28,28,28,6,9,14,9,4,7,11,12,6,9,5,0,22,25,23,22,10,5,12,4,11,9,4,10,12,14,17,13,3,9,10,11,12,
subj-4_scrape-317_col-1,21,27,29,22,30,30,26,30,23,23,30,30,30,19,23,28,24,24,27,26,27,26,23,23,22,0,7,5,4,24,24,22,24,25,23,25,24,27,22,30,27,22,23,23,24,26,
subj-4_scrape-317_col-2,24,30,32,25,33,33,29,33,26,26,33,33,33,23,26,31,27,27,30,29,30,28,26,25,25,7,0,4,7,27,27,25,27,28,26,28,27,30,24,34,30,25,26,26,26,29,
subj-4_scrape-317_col-3,22,28,30,23,31,31,27,31,24,24,31,31,31,21,24,29,22,25,28,27,28,27,24,24,23,5,4,0,5,25,25,22,25,26,24,26,25,28,24,32,28,23,24,24,24,26,
subj-4_scrape-317_col-4,21,27,29,22,30,30,26,30,23,23,30,30,30,20,23,28,24,24,27,26,27,26,23,23,22,4,7,5,0,24,24,22,24,25,23,25,24,27,22,31,27,22,23,23,24,26,
subj-4_scrape-313_col-2,7,11,17,8,30,30,29,30,11,11,30,30,30,6,9,16,7,12,15,10,11,13,7,11,10,24,27,25,24,0,13,13,12,1,7,11,8,11,11,16,10,10,6,0,10,10,
subj-4_scrape-314_col-2,10,16,15,11,30,31,29,31,12,12,31,30,31,9,12,16,12,7,10,15,15,8,12,6,5,24,27,25,24,13,0,16,7,14,12,7,13,15,17,21,16,6,12,13,13,15,
subj-4_scrape-315_col-1,12,15,18,12,27,28,26,28,14,13,28,27,28,10,13,16,12,15,19,13,15,16,11,15,12,22,25,22,22,13,16,0,16,14,11,15,12,14,15,18,14,15,11,13,12,7,
subj-4_scrape-316_col-1,9,15,14,10,30,30,29,30,11,11,30,30,30,8,11,16,12,6,7,14,15,8,11,6,4,24,27,25,24,12,7,16,0,13,11,7,12,14,17,20,15,5,11,12,14,14,
