,subj-1_scrape-379_col-1,subj-1_scrape-379_col-2,subj-1_scrape-379_col-3,subj-1_scrape-380_col-1,subj-1_scrape-380_col-2,subj-1_scrape-380_col-3,subj-1_scrape-380_col-4,subj-1_scrape-380_col-5,subj-1_scrape-380_col-6,subj-1_scrape-297_col-1,subj-1_scrape-297_col-2,subj-1_scrape-298_col-1,subj-1_scrape-298_col-2,subj-1_scrape-298_col-3,subj-1_scrape-299_col-1,subj-1_scrape-288_col-1,subj-1_scrape-288_col-2,subj-1_scrape-288_col-3,subj-1_scrape-287_col-1,subj-1_scrape-287_col-2,subj-1_scrape-291_col-3,subj-1_scrape-287_col-3,subj-1_scrape-67_col-1,subj-1_scrape-67_col-2,subj-1_scrape-68_col-1,subj-1_scrape-66_col-1,subj-1_scrape-66_col-2,subj-1_scrape-66_col-3,subj-1_scrape-67_col-3,subj-1_scrape-416_col-1,subj-1_scrape-416_col-2,subj-1_scrape-416_col-3,subj-1_scrape-416_col-4,subj-1_scrape-417_col-1,subj-1_scrape-417_col-2,subj-1_scrape-417_col-3,subj-1_scrape-417_col-4,subj-1_scrape-418_col-2,subj-1_scrape-415_col-3,subj-1_scrape-418_col-3,subj-1_scrape-418_col-4,subj-1_scrape-442_col-1,subj-1_scrape-442_col-3,subj-1_scrape-442_col-6,subj-1_scrape-444_col-1,subj-1_scrape-444_col-2,subj-1_scrape-444_col-3,subj-1_scrape-444_col-4,subj-1_scrape-444_col-5,subj-1_scrape-443_col-1,subj-1_scrape-443_col-2,subj-1_scrape-443_col-3,subj-1_scrape-443_col-4,subj-1_scrape-443_col-5,subj-1_scrape-443_col-6,subj-1_scrape-444_col-7,subj-1_scrape-444_col-8,subj-1_scrape-444_col-9,subj-1_scrape-444_col-13,subj-1_scrape-444_col-14,subj-1_scrape-443_col-7,subj-1_scrape-443_col-8,subj-1_scrape-443_col-9,
subj-1_scrape-288_col-1,16,10,14,5,11,11,10,13,14,10,10,11,11,10,12,0,13,13,7,7,10,10,3,11,4,13,11,12,13,11,11,12,10,15,14,15,11,14,13,14,14,16,13,13,7,15,14,12,13,16,15,17,9,18,20,14,15,15,15,15,15,5,14,
subj-1_scrape-288_col-2,15,9,13,12,8,8,7,12,1,7,7,8,8,7,11,13,0,0,6,6,6,9,12,8,13,12,8,11,12,10,10,11,9,2,7,8,10,11,12,11,11,15,10,10,14,2,11,11,12,13,14,14,8,17,13,13,8,2,2,8,12,12,13,
subj-1_scrape-288_col-3,15,9,13,12,8,8,7,12,1,7,7,8,8,7,11,13,0,0,6,6,6,9,12,8,13,12,8,11,12,10,10,11,9,2,7,8,10,11,12,11,11,15,10,10,14,2,11,11,12,13,14,14,8,17,13,13,8,2,2,8,12,12,13,
subj-1_scrape-287_col-1,9,3,7,6,4,4,3,6,7,3,3,4,4,3,5,7,6,6,0,0,3,3,6,4,7,6,4,5,6,4,4,5,3,8,7,8,4,7,6,7,7,9,6,6,8,8,7,5,6,9,8,10,2,11,13,7,8,8,8,8,8,6,7,
subj-1_scrape-287_col-2,9,3,7,6,4,4,3,6,7,3,3,4,4,3,5,7,6,6,0,0,3,3,6,4,7,6,4,5,6,4,4,5,3,8,7,8,4,7,6,7,7,9,6,6,8,8,7,5,6,9,8,10,2,11,13,7,8,8,8,8,8,6,7,
subj-1_scrape-291_col-3,12,6,9,8,2,2,1,9,7,2,2,3,3,1,8,10,6,6,3,3,0,6,9,3,10,9,3,8,9,7,7,8,6,9,8,9,7,5,9,5,5,12,5,4,11,9,6,8,9,8,10,9,5,14,14,10,8,9,9,8,7,9,10,
subj-1_scrape-287_col-3,12,6,10,9,7,7,6,9,10,6,6,7,7,6,8,10,9,9,3,3,6,0,9,7,10,9,7,8,9,7,7,8,6,11,10,11,5,10,9,10,10,12,9,9,11,11,10,8,9,12,11,13,5,14,16,10,11,11,11,11,11,9,10,
subj-1_scrape-67_col-1,15,9,13,4,10,10,9,12,13,9,9,10,10,9,11,3,12,12,6,6,9,9,0,10,3,12,10,11,12,10,10,11,9,14,13,14,10,13,12,13,13,15,12,12,6,14,13,11,12,15,14,16,8,17,19,13,14,14,14,14,14,4,13,
subj-1_scrape-67_col-2,13,7,11,10,4,4,3,10,9,3,3,4,4,3,9,11,8,8,4,4,3,7,10,0,11,10,4,9,10,8,8,9,7,10,9,10,8,7,10,7,7,13,6,6,12,10,7,9,10,5,12,6,6,15,15,11,10,10,10,10,4,10,11,
subj-1_scrape-68_col-1,15,10,14,5,11,11,10,13,14,10,10,11,11,10,12,4,13,13,7,7,10,10,3,11,0,13,11,12,13,11,11,12,10,15,14,15,11,14,12,14,14,16,13,13,7,15,14,12,13,16,14,17,9,17,20,14,15,15,15,15,15,5,14,
