sample-id,filename,direction
A-St-E09,A-St-E09_276_L001_R1_001.fastq.gz,forward
A-St-E10,A-St-E10_286_L001_R1_001.fastq.gz,forward
A-St-E11,A-St-E11_296_L001_R1_001.fastq.gz,forward
A-St-E12,A-St-E12_306_L001_R1_001.fastq.gz,forward
A-St-F01,A-St-F01_197_L001_R1_001.fastq.gz,forward
A-St-F02,A-St-F02_207_L001_R1_001.fastq.gz,forward
A-St-F03,A-St-F03_217_L001_R1_001.fastq.gz,forward
A-St-F04,A-St-F04_227_L001_R1_001.fastq.gz,forward
A-St-F05,A-St-F05_237_L001_R1_001.fastq.gz,forward
A-St-F06,A-St-F06_247_L001_R1_001.fastq.gz,forward
A-St-F07,A-St-F07_257_L001_R1_001.fastq.gz,forward
A-St-F08,A-St-F08_267_L001_R1_001.fastq.gz,forward
A-St-F09,A-St-F09_277_L001_R1_001.fastq.gz,forward
A-St-F10,A-St-F10_287_L001_R1_001.fastq.gz,forward
A-St-F11,A-St-F11_297_L001_R1_001.fastq.gz,forward
F-Sc-01-G09,F-Sc-01-G09_134_L001_R1_001.fastq.gz,forward
F-Sc-02-G10,F-Sc-02-G10_150_L001_R1_001.fastq.gz,forward
F-Sc-03-G11,F-Sc-03-G11_166_L001_R1_001.fastq.gz,forward
F-Sc-04-G12,F-Sc-04-G12_182_L001_R1_001.fastq.gz,forward
F-Sc-05-H01,F-Sc-05-H01_7_L001_R1_001.fastq.gz,forward
F-Sc-06-H02,F-Sc-06-H02_23_L001_R1_001.fastq.gz,forward
F-Sc-07-H03,F-Sc-07-H03_39_L001_R1_001.fastq.gz,forward
F-Sc-09-H04,F-Sc-09-H04_55_L001_R1_001.fastq.gz,forward
F-Sc-10-H05,F-Sc-10-H05_71_L001_R1_001.fastq.gz,forward
F-Sc-11-H06,F-Sc-11-H06_87_L001_R1_001.fastq.gz,forward
F-Sc-12-H07,F-Sc-12-H07_103_L001_R1_001.fastq.gz,forward
F-Sc-13-H08,F-Sc-13-H08_119_L001_R1_001.fastq.gz,forward
F-Sc-14-H09,F-Sc-14-H09_135_L001_R1_001.fastq.gz,forward
F-Sc-15-H10,F-Sc-15-H10_151_L001_R1_001.fastq.gz,forward
F-Sc-16-H11,F-Sc-16-H11_167_L001_R1_001.fastq.gz,forward
F-Sc-blank-H12,F-Sc-blank-H12_183_L001_R1_001.fastq.gz,forward
F-St-A01,F-St-A01_0_L001_R1_001.fastq.gz,forward
F-St-A02,F-St-A02_16_L001_R1_001.fastq.gz,forward
F-St-A03,F-St-A03_32_L001_R1_001.fastq.gz,forward
F-St-A04,F-St-A04_48_L001_R1_001.fastq.gz,forward
F-St-A05,F-St-A05_64_L001_R1_001.fastq.gz,forward
F-St-A06,F-St-A06_80_L001_R1_001.fastq.gz,forward
F-St-A07,F-St-A07_96_L001_R1_001.fastq.gz,forward
F-St-A08,F-St-A08_112_L001_R1_001.fastq.gz,forward
F-St-A09,F-St-A09_128_L001_R1_001.fastq.gz,forward
F-St-A10,F-St-A10_144_L001_R1_001.fastq.gz,forward
F-St-A11,F-St-A11_160_L001_R1_001.fastq.gz,forward
F-St-A12,F-St-A12_176_L001_R1_001.fastq.gz,forward
F-St-B01,F-St-B01_1_L001_R1_001.fastq.gz,forward
F-St-B02,F-St-B02_17_L001_R1_001.fastq.gz,forward
F-St-B03,F-St-B03_33_L001_R1_001.fastq.gz,forward
F-St-B04,F-St-B04_49_L001_R1_001.fastq.gz,forward
F-St-B05,F-St-B05_65_L001_R1_001.fastq.gz,forward
F-St-B06,F-St-B06_81_L001_R1_001.fastq.gz,forward
F-St-B07,F-St-B07_97_L001_R1_001.fastq.gz,forward
F-St-B08,F-St-B08_113_L001_R1_001.fastq.gz,forward
F-St-B09,F-St-B09_129_L001_R1_001.fastq.gz,forward
F-St-B10,F-St-B10_145_L001_R1_001.fastq.gz,forward
F-St-B11,F-St-B11_161_L001_R1_001.fastq.gz,forward
F-St-B12,F-St-B12_177_L001_R1_001.fastq.gz,forward
F-St-C01,F-St-C01_2_L001_R1_001.fastq.gz,forward
F-St-C02,F-St-C02_18_L001_R1_001.fastq.gz,forward
F-St-C03,F-St-C03_34_L001_R1_001.fastq.gz,forward
F-St-C04,F-St-C04_50_L001_R1_001.fastq.gz,forward
F-St-C05,F-St-C05_66_L001_R1_001.fastq.gz,forward
F-St-C06,F-St-C06_82_L001_R1_001.fastq.gz,forward
F-St-C07,F-St-C07_98_L001_R1_001.fastq.gz,forward
F-St-C08,F-St-C08_114_L001_R1_001.fastq.gz,forward
F-St-C09,F-St-C09_130_L001_R1_001.fastq.gz,forward
F-St-C10,F-St-C10_146_L001_R1_001.fastq.gz,forward
F-St-C11,F-St-C11_162_L001_R1_001.fastq.gz,forward
F-St-C12,F-St-C12_178_L001_R1_001.fastq.gz,forward
F-St-D01,F-St-D01_3_L001_R1_001.fastq.gz,forward
F-St-D02,F-St-D02_19_L001_R1_001.fastq.gz,forward
F-St-D03,F-St-D03_35_L001_R1_001.fastq.gz,forward
F-St-D04,F-St-D04_51_L001_R1_001.fastq.gz,forward
F-St-D05,F-St-D05_67_L001_R1_001.fastq.gz,forward
F-St-D06,F-St-D06_83_L001_R1_001.fastq.gz,forward
F-St-D07,F-St-D07_99_L001_R1_001.fastq.gz,forward
F-St-D08,F-St-D08_115_L001_R1_001.fastq.gz,forward
F-St-D09,F-St-D09_131_L001_R1_001.fastq.gz,forward
F-St-D10,F-St-D10_147_L001_R1_001.fastq.gz,forward
F-St-D11,F-St-D11_163_L001_R1_001.fastq.gz,forward
F-St-D12,F-St-D12_179_L001_R1_001.fastq.gz,forward
F-St-E01,F-St-E01_4_L001_R1_001.fastq.gz,forward
F-St-E02,F-St-E02_20_L001_R1_001.fastq.gz,forward
F-St-E03,F-St-E03_36_L001_R1_001.fastq.gz,forward
F-St-E04,F-St-E04_52_L001_R1_001.fastq.gz,forward
F-St-E05,F-St-E05_68_L001_R1_001.fastq.gz,forward
F-St-E06,F-St-E06_84_L001_R1_001.fastq.gz,forward
F-St-E07,F-St-E07_100_L001_R1_001.fastq.gz,forward
F-St-E08,F-St-E08_116_L001_R1_001.fastq.gz,forward
F-St-E09,F-St-E09_132_L001_R1_001.fastq.gz,forward
F-St-E10,F-St-E10_148_L001_R1_001.fastq.gz,forward
F-St-E11,F-St-E11_164_L001_R1_001.fastq.gz,forward
F-St-E12,F-St-E12_180_L001_R1_001.fastq.gz,forward
F-St-F01,F-St-F01_5_L001_R1_001.fastq.gz,forward
F-St-F02,F-St-F02_21_L001_R1_001.fastq.gz,forward
F-St-F03,F-St-F03_37_L001_R1_001.fastq.gz,forward
F-St-F04,F-St-F04_53_L001_R1_001.fastq.gz,forward
F-St-F05,F-St-F05_69_L001_R1_001.fastq.gz,forward
F-St-F06,F-St-F06_85_L001_R1_001.fastq.gz,forward
F-St-F07,F-St-F07_101_L001_R1_001.fastq.gz,forward
F-St-F08,F-St-F08_117_L001_R1_001.fastq.gz,forward
F-St-F09,F-St-F09_133_L001_R1_001.fastq.gz,forward
F-St-F10,F-St-F10_149_L001_R1_001.fastq.gz,forward
F-St-F11,F-St-F11_165_L001_R1_001.fastq.gz,forward
F-St-F12,F-St-F12_181_L001_R1_001.fastq.gz,forward
F-St-G01,F-St-G01_6_L001_R1_001.fastq.gz,forward
F-St-G02,F-St-G02_22_L001_R1_001.fastq.gz,forward
F-St-G03,F-St-G03_38_L001_R1_001.fastq.gz,forward
F-St-G04,F-St-G04_54_L001_R1_001.fastq.gz,forward
F-St-G05,F-St-G05_70_L001_R1_001.fastq.gz,forward
F-St-G06,F-St-G06_86_L001_R1_001.fastq.gz,forward
F-St-G07,F-St-G07_102_L001_R1_001.fastq.gz,forward
F-St-G08,F-St-G08_118_L001_R1_001.fastq.gz,forward
G-Sc-04-H02,G-Sc-04-H02_31_L001_R1_001.fastq.gz,forward
G-Sc-05-H03,G-Sc-05-H03_47_L001_R1_001.fastq.gz,forward
G-Sc-06-H04,G-Sc-06-H04_63_L001_R1_001.fastq.gz,forward
G-Sc-07-H05,G-Sc-07-H05_79_L001_R1_001.fastq.gz,forward
G-Sc-08-H06,G-Sc-08-H06_95_L001_R1_001.fastq.gz,forward
G-Sc-09-H07,G-Sc-09-H07_111_L001_R1_001.fastq.gz,forward
G-Sc-10-H08,G-Sc-10-H08_127_L001_R1_001.fastq.gz,forward
G-Sc-11-H09,G-Sc-11-H09_143_L001_R1_001.fastq.gz,forward
G-Sc-12-H10,G-Sc-12-H10_159_L001_R1_001.fastq.gz,forward
G-Sc-13-H11,G-Sc-13-H11_175_L001_R1_001.fastq.gz,forward
G-Sc-14-H12,G-Sc-14-H12_191_L001_R1_001.fastq.gz,forward
G-Sc-15-B01,G-Sc-15-B01_201_L001_R1_001.fastq.gz,forward
G-Sc-16-B02,G-Sc-16-B02_211_L001_R1_001.fastq.gz,forward
G-Sc-17-B03,G-Sc-17-B03_221_L001_R1_001.fastq.gz,forward
G-Sc-18-B04,G-Sc-18-B04_231_L001_R1_001.fastq.gz,forward
G-Sc-19-B05,G-Sc-19-B05_241_L001_R1_001.fastq.gz,forward
G-Sc-20-B06,G-Sc-20-B06_251_L001_R1_001.fastq.gz,forward
G-St-A01,G-St-A01_8_L001_R1_001.fastq.gz,forward
G-St-A02,G-St-A02_24_L001_R1_001.fastq.gz,forward
G-St-A03,G-St-A03_40_L001_R1_001.fastq.gz,forward
G-St-A04,G-St-A04_56_L001_R1_001.fastq.gz,forward
G-St-A05,G-St-A05_72_L001_R1_001.fastq.gz,forward
G-St-A06,G-St-A06_88_L001_R1_001.fastq.gz,forward
G-St-A07,G-St-A07_104_L001_R1_001.fastq.gz,forward
G-St-A08,G-St-A08_120_L001_R1_001.fastq.gz,forward
G-St-A09,G-St-A09_136_L001_R1_001.fastq.gz,forward
G-St-A10,G-St-A10_152_L001_R1_001.fastq.gz,forward
G-St-A11,G-St-A11_168_L001_R1_001.fastq.gz,forward
G-St-A12,G-St-A12_184_L001_R1_001.fastq.gz,forward
G-St-B01,G-St-B01_9_L001_R1_001.fastq.gz,forward
G-St-B02,G-St-B02_25_L001_R1_001.fastq.gz,forward
G-St-B03,G-St-B03_41_L001_R1_001.fastq.gz,forward
G-St-B04,G-St-B04_57_L001_R1_001.fastq.gz,forward
G-St-B05,G-St-B05_73_L001_R1_001.fastq.gz,forward
G-St-B06,G-St-B06_89_L001_R1_001.fastq.gz,forward
G-St-B07,G-St-B07_105_L001_R1_001.fastq.gz,forward
G-St-B08,G-St-B08_121_L001_R1_001.fastq.gz,forward
G-St-B09,G-St-B09_137_L001_R1_001.fastq.gz,forward
G-St-B10,G-St-B10_153_L001_R1_001.fastq.gz,forward
G-St-B11,G-St-B11_169_L001_R1_001.fastq.gz,forward
G-St-B12,G-St-B12_185_L001_R1_001.fastq.gz,forward
G-St-C01,G-St-C01_10_L001_R1_001.fastq.gz,forward
G-St-C02,G-St-C02_26_L001_R1_001.fastq.gz,forward
G-St-C03,G-St-C03_42_L001_R1_001.fastq.gz,forward
G-St-C04,G-St-C04_58_L001_R1_001.fastq.gz,forward
G-St-C05,G-St-C05_74_L001_R1_001.fastq.gz,forward
G-St-C06,G-St-C06_90_L001_R1_001.fastq.gz,forward
G-St-C07,G-St-C07_106_L001_R1_001.fastq.gz,forward
G-St-C08,G-St-C08_122_L001_R1_001.fastq.gz,forward
G-St-C09,G-St-C09_138_L001_R1_001.fastq.gz,forward
G-St-C10,G-St-C10_154_L001_R1_001.fastq.gz,forward
G-St-C11,G-St-C11_170_L001_R1_001.fastq.gz,forward
G-St-C12,G-St-C12_186_L001_R1_001.fastq.gz,forward
G-St-D01,G-St-D01_11_L001_R1_001.fastq.gz,forward
G-St-D02,G-St-D02_27_L001_R1_001.fastq.gz,forward
G-St-D03,G-St-D03_43_L001_R1_001.fastq.gz,forward
G-St-D04,G-St-D04_59_L001_R1_001.fastq.gz,forward
G-St-D05,G-St-D05_75_L001_R1_001.fastq.gz,forward
G-St-D06,G-St-D06_91_L001_R1_001.fastq.gz,forward
G-St-D07,G-St-D07_107_L001_R1_001.fastq.gz,forward
G-St-D08,G-St-D08_123_L001_R1_001.fastq.gz,forward
G-St-D09,G-St-D09_139_L001_R1_001.fastq.gz,forward
G-St-D10,G-St-D10_155_L001_R1_001.fastq.gz,forward
G-St-D11,G-St-D11_171_L001_R1_001.fastq.gz,forward
G-St-D12,G-St-D12_187_L001_R1_001.fastq.gz,forward
G-St-E01,G-St-E01_12_L001_R1_001.fastq.gz,forward
G-St-E02,G-St-E02_28_L001_R1_001.fastq.gz,forward
G-St-E03,G-St-E03_44_L001_R1_001.fastq.gz,forward
G-St-E04,G-St-E04_60_L001_R1_001.fastq.gz,forward
G-St-E05,G-St-E05_76_L001_R1_001.fastq.gz,forward
G-St-E06,G-St-E06_92_L001_R1_001.fastq.gz,forward
G-St-E07,G-St-E07_108_L001_R1_001.fastq.gz,forward
G-St-E08,G-St-E08_124_L001_R1_001.fastq.gz,forward
G-St-E09,G-St-E09_140_L001_R1_001.fastq.gz,forward
G-St-E10,G-St-E10_156_L001_R1_001.fastq.gz,forward
G-St-E11,G-St-E11_172_L001_R1_001.fastq.gz,forward
G-St-E12,G-St-E12_188_L001_R1_001.fastq.gz,forward
G-St-F01,G-St-F01_13_L001_R1_001.fastq.gz,forward
G-St-F02,G-St-F02_29_L001_R1_001.fastq.gz,forward
G-St-F03,G-St-F03_45_L001_R1_001.fastq.gz,forward
G-St-F04,G-St-F04_61_L001_R1_001.fastq.gz,forward
G-St-F05,G-St-F05_77_L001_R1_001.fastq.gz,forward
G-St-F06,G-St-F06_93_L001_R1_001.fastq.gz,forward
G-St-F07,G-St-F07_109_L001_R1_001.fastq.gz,forward
G-St-F08,G-St-F08_125_L001_R1_001.fastq.gz,forward
G-St-F09,G-St-F09_141_L001_R1_001.fastq.gz,forward
G-St-F10,G-St-F10_157_L001_R1_001.fastq.gz,forward
G-St-F11,G-St-F11_173_L001_R1_001.fastq.gz,forward
G-St-F12,G-St-F12_189_L001_R1_001.fastq.gz,forward
G-St-G01,G-St-G01_14_L001_R1_001.fastq.gz,forward
G-St-G02,G-St-G02_30_L001_R1_001.fastq.gz,forward
G-St-G03,G-St-G03_46_L001_R1_001.fastq.gz,forward
G-St-G04,G-St-G04_62_L001_R1_001.fastq.gz,forward
G-St-G05,G-St-G05_78_L001_R1_001.fastq.gz,forward
G-St-G06,G-St-G06_94_L001_R1_001.fastq.gz,forward
G-St-G07,G-St-G07_110_L001_R1_001.fastq.gz,forward
G-St-G08,G-St-G08_126_L001_R1_001.fastq.gz,forward
G-St-G09,G-St-G09_142_L001_R1_001.fastq.gz,forward
G-St-G10,G-St-G10_158_L001_R1_001.fastq.gz,forward
G-St-G11,G-St-G11_174_L001_R1_001.fastq.gz,forward
G-St-G12,G-St-G12_190_L001_R1_001.fastq.gz,forward
G-St-H01,G-St-H01_15_L001_R1_001.fastq.gz,forward
blank-B07,blank-B07_261_L001_R1_001.fastq.gz,forward
blank-B08,blank-B08_271_L001_R1_001.fastq.gz,forward
blank-B09,blank-B09_281_L001_R1_001.fastq.gz,forward
blank-B10,blank-B10_291_L001_R1_001.fastq.gz,forward
posctrl-B11,posctrl-B11_301_L001_R1_001.fastq.gz,forward
posctrl-B12,posctrl-B12_311_L001_R1_001.fastq.gz,forward
